,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
803,The Chocolate Room,"BCM Heights, Vijay Nagar","Cafe, Desserts",700,3.9
804,Cream Stone,New Palasia,"Ice Cream, Desserts",300,4.2
805,Icekraft,Vijay Nagar,"Desserts, Ice Cream, Fast Food",300,4.1
806,Cakes & More,New Palasia,"Bakery, Desserts",350,4.3
807,Keventers,Old Palasia,"Beverages, Desserts, Ice Cream",400,4.2
808,Cakes N' Craft,Vijay Nagar,"Bakery, Desserts",350,3.9
809,I Contrast,Sapna Sangeeta,"Ice Cream, Desserts",150,4.1
810,The Belgian Waffle Co.,Old Palasia,"Desserts, Beverages",300,4.1
811,Monica Galaxy,Annapurna Road,"Ice Cream, Desserts",150,4
812,Top 'N' Town,YN Road,"Ice Cream, Desserts",200,4.1
813,Naturals Ice Cream,Vijay Nagar,"Desserts, Ice Cream",150,4.4
814,London Bubble Co.,New Palasia,"Desserts, Ice Cream",400,4
815,World of Waffles,Vijay Nagar,Desserts,250,4
816,Una's,Old Palasia,"Desserts, Beverages",450,4
817,Sweet N Slice,Old Palasia,"Desserts, Fast Food, Beverages",600,3.6
818,Sheetal Gazak & Kulfi,YN Road,"Ice Cream, Desserts",250,4.1
819,Monica Galaxy,YN Road,"Ice Cream, Desserts",150,3.6
820,The Belgian Waffle Co.,Sapna Sangeeta,"Desserts, Beverages",300,3.7
821,Cool Uncle Ice Cream Lounge & Cafe,Vijay Nagar,"Ice Cream, Fast Food, Beverages",500,3.9
822,Live Tawa Ice Cream,"56 Dukan, New Palasia","Ice Cream, Beverages",500,3.9
823,99 PanCakes,Old Palasia,"Desserts, Healthy Food",300,4
824,Cool Uncle Ice Cream Lounge & Cafe,Sudama Nagar,"Ice Cream, Desserts, Fast Food",400,3.8
825,N.O.W - Nest of Waffles,Sudama Nagar,"Desserts, Fast Food",250,4
826,Top 'N' Town,Sapna Sangeeta,"Ice Cream, Desserts",200,3.6
827,Havmor- Ice creams,Manik Bagh Road,"Desserts, Ice Cream",300,3.7
828,Top N Town - Humpty Dumpty,Annapurna Road,"Ice Cream, Desserts",150,3.8
829,McCafe,"Treasure Island Mall, South Tukoganj","Cafe, Desserts",300,3.7
830,The Cake Story,Old Palasia,"Desserts, Bakery",450,3.8
831,Nema Sweets,Bombay Bazaar,Desserts,200,3.2
832,Top 'N' Town,Kothari Market,"Ice Cream, Desserts",200,3.4
833,Dinshaw's Cream Studio,Old Palasia,"Desserts, Ice Cream",200,3.7
834,Vadilal Ice Cream,Sapna Sangeeta,"Desserts, Ice Cream",100,3.4
835,Ice Balls & Slice Square,Vijay Nagar,"Sandwich, Fast Food, Ice Cream",300,3.7
836,Nema Gajak Kulfi,Bhawar Kuan,Desserts,200,3.3
837,Baskin Robbins,Vijay Nagar,"Ice Cream, Desserts, Beverages",300,3.2
838,Keventers,"Sapna Sangeeta Mall, Sapna Sangeeta","Beverages, Desserts, Ice Cream",400,3.5
839,Nema Kulfi Faluda,Old Palasia,"Fast Food, Desserts, Beverages",400,3.5
840,Baskin Robbins,Geeta Bhavan,"Ice Cream, Desserts, Beverages",300,3.6
841,Food Land Ice Cream and Cafe,Airport Road,"Ice Cream, Fast Food",300,3.5
842,Amul Store,Old Palasia,"Desserts, Ice Cream",200,3.4
843,Gabba's Cake,Sudama Nagar,"Desserts, Bakery",250,2.6
844,Sheetal Gazak & Kulfi,Chhavani,"Ice Cream, Desserts",250,3.6
845,Baskin Robbins,Sapna Sangeeta,"Ice Cream, Desserts, Beverages",300,3.1
846,Cakes N' Craft,Annapurna Road,"Bakery, Desserts",350,3.5
847,Indore Kulfi House,RNT Marg,"Street Food, Desserts",200,3.6
848,Top 'N' Town,Ranjeet Hanuman,"Desserts, Ice Cream, Beverages",150,3.5
849,The Belgian Waffle Co.,"56 Dukan, New Palasia","Desserts, Beverages",300,3.5
850,Sheetal Gazak & Kulfi,Vijay Nagar,"Ice Cream, Desserts",250,3.6
852,Waff Up! by Foobae,Old Palasia,Desserts,500,3.5
853,Cakes N' Craft,Bhawar Kuan,"Bakery, Desserts",350,3.3
854,Nice Natural Ice Cream,Old Palasia,"Desserts, Fast Food, Beverages",400,3.2
855,Nema Kulfi,Khajrana,"Fast Food, Desserts, Beverages",400,3.3
856,Top 'N' Town,Vijay Nagar,"Ice Cream, Desserts",200,3.4
857,Nema Kulfi & Gajak,Vijay Nagar,"Fast Food, Desserts, Beverages",400,3.5
858,Nema Malwi Mithas,Old Palasia,"Fast Food, Desserts, Beverages",400,3.2
859,Mhow Kulfi,Kothari Market,"Ice Cream, Street Food",300,3.4
860,Top N Town,By Pass Road (North),Ice Cream,250,3.4
861,Kwality Wall's Humty Dumty,"56 Dukan, New Palasia","Ice Cream, Beverages",150,3.3
862,Nema Gajak Kulfi,Bombay Bazaar,Desserts,200,2.8
863,Nema Malwi Mithas,Sarafa Bazaar,"Fast Food, Desserts, Beverages",400,3.5
864,Baskin Robbins,"C21 Mall, Vijay Nagar","Ice Cream, Desserts, Beverages",300,3.5
865,Agrawal Ice Cream,Sarafa Bazaar,"Ice Cream, Desserts",200,3.6
866,Top 'N' Town,Khajrana,"Ice Cream, Desserts",200,3.4
867,Top 'N' Town,Vijay Nagar,"Ice Cream, Desserts",200,2.9
868,Amul Shoppie,Jail Road,"Ice Cream, Fast Food",200,3.4
869,Agrawal Juice and Ice Cream,Sarafa Bazaar,"Ice Cream, Juices, Beverages",100,3.3
870,Top 'N' Town,Press Complex,"Ice Cream, Desserts",200,2.8
871,D'Chocolatist,Vijay Nagar,Desserts,150,3.1
872,Shri Bharkha Devi Ice Cream,MR 10 Road,"Ice Cream, Chinese",100,3.2
873,Amul Parlour,Airport Road,"Ice Cream, Fast Food",200,3.3
874,Shree Jain Kulfi and  ?,Airport Road,Ice Cream,200,2.9
875,Cakes N Craft,Khajrana,"Bakery, Desserts",350,2.9
876,Live Tawa Icecream,Sudama Nagar,"Ice Cream, Beverages",500,3.2
878,Iceland Vadilal,Annapurna Road,"Desserts, Ice Cream",100,2.7
879,Shri Anand Ice Cream,Sudama Nagar,"Ice Cream, Beverages",150,2.9
880,Top n Town- CGS Ice Cream Delight,Malharganj,Ice Cream,250,3.1
881,Waff Up!,Vijay Nagar,Desserts,500,3.3
882,Amul Waabasta Scoops,Khajrana,Ice Cream,150,3.2
883,Nema Kulfi Faluda,By Pass Road (North),"Fast Food, Desserts, Beverages",400,3.2
884,Baskin Robbins,Old Palasia,"Ice Cream, Desserts, Beverages",300,3
885,Monica Galaxy,Airport Road,"Ice Cream, Desserts",150,3.1
886,Nema Kulfi Faluda,Bhawar Kuan,Desserts,200,3.1
887,Amrit Shri Ice Cream Parlour,Vijay Nagar,"Ice Cream, Desserts",100,2.9
888,Ice Cream Online,Sudama Nagar,Ice Cream,150,3
889,Ice Cream Hub,Vijay Nagar,"Ice Cream, Chinese",400,3
891,Waffled,South Tukoganj,"Ice Cream, Desserts",250,3
892,ifruit Delight,Vijay Nagar,"Desserts, Ice Cream",300,3
893,Live Ice Cream,Old Palasia,Ice Cream,150,3.1
896,Iceberg Cafe & Bharkadevi Ice Cream,Sudama Nagar,Ice Cream,250,3.1
900,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
901,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg","Bakery, North Indian, South Indian, Fast Food",600,4.6
902,Shreemaya Celebration,Rajendra Nagar,"Bakery, North Indian, South Indian, Fast Food",500,4.3
903,Parag Bakery & Fast Food,Sudama Nagar,"Bakery, Fast Food",300,4.1
904,Cakes N' Craft,Old Palasia,"Bakery, Desserts",350,3.9
905,Simi's,Vijay Nagar,"Bakery, Desserts",300,4.6
906,Shreemaya Celebrity,Vijay Nagar,"North Indian, South Indian, Italian, Chinese, Street Food",500,4.3
907,Lucky Bakers,Sudama Nagar,"Bakery, Fast Food",250,3.9
908,Fantasy,Old Palasia,"Italian, Fast Food",700,3.9
909,Cakesmith's Alley,Vijay Nagar,"Bakery, Fast Food",500,4.3
910,Perfect Bakery,Vijay Nagar,"Bakery, Fast Food",200,3.9
911,LSD - Love Sugar & Dough,Vijay Nagar,"Bakery, North Indian, Italian",800,4.1
912,Bake Affaire,YN Road,"Fast Food, Bakery",350,4.2
913,Dev's Bakery,Bhawar Kuan,"Bakery, Fast Food",300,2.8
914,Cakes & More,New Palasia,"Bakery, Desserts",350,4.3
915,Valentine Cafe & Bakery,Bhawar Kuan,"Fast Food, Bakery",400,4
916,Bakers Lounge,Sapna Sangeeta,"Bakery, Fast Food",250,3.8
917,Cakes N' Craft,Vijay Nagar,"Bakery, Desserts",350,3.9
918,Masters Bakery Krozzon,Vijay Nagar,"Bakery, Fast Food",850,4.6
919,Indore Baking Company - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",Bakery,1500,4.4
920,Bake Well Bakery Shop,"Hotel Crown Palace, South Tukoganj","Bakery, Fast Food",300,3.6
921,Nafees Bakers,New Palasia,"Bakery, Fast Food",400,3.9
922,Cake Me Away,Old Palasia,"Bakery, Fast Food",350,3.5
923,Jain's Trupti Bakes N Beans,Ranjeet Hanuman,"Bakery, Fast Food, Chinese",300,3.6
924,Nafees Bakery,Bombay Bazaar,"Bakery, Fast Food",150,3.4
925,Cakes 365,Old Palasia,"Bakery, Fast Food",200,3.6
926,The RJ's Bakery & Cake Shop,Vijay Nagar,Bakery,300,3.1
927,The RJ's Everfresh,Vijay Nagar,Bakery,300,3.3
928,The Baking Room,New Palasia,"Bakery, Desserts",400,3.8
929,Baked Inn,HIG-LIG,"Bakery, Cafe",400,3.5
930,Granny's Restaurant,Bhawar Kuan,"North Indian, Chinese, Bakery",550,3.5
931,Peace of Cake,Sapna Sangeeta,"Bakery, Desserts",300,3.9
932,Nafees Cakes & Grills,Old Palasia,"Fast Food, Bakery",400,4
933,Cake Boutique,Vijay Nagar,"Bakery, Fast Food",250,2.8
934,Dev's Bakery,HIG-LIG,"Bakery, Street Food",250,3
935,Khurana's,New Palasia,"Bakery, Fast Food",300,3.3
936,Fantasy,Sapna Sangeeta,"Italian, Fast Food",700,3
937,24 Hours Bakery Shop,Vijay Nagar,"Bakery, Desserts",150,3.7
938,Baker's Lounge,YN Road,"Bakery, Fast Food",350,3
939,Cake's Valley,Navlakha,"Bakery, Fast Food",300,3.5
940,Dev's Bakery,Geeta Bhavan,Bakery,300,3.3
941,Dev's Bakery,Khajrana,"Bakery, Fast Food",300,3.4
942,Bombay Bakery,Chhavani,"Bakery, Street Food",100,3.5
943,The Cake Story,Old Palasia,"Desserts, Bakery",450,3.8
944,Occasion - Hotel Amar Vilas,"Hotel Amar Vilas, Press Complex",Bakery,500,3.4
945,420 Bites,New Palasia,"Bakery, Desserts, Fast Food, South Indian, Chinese, North Indian",350,3.4
946,Cake Boutique,Sudama Nagar,"Bakery, Desserts",350,3.3
947,Dev's Bakery,Bhawar Kuan,"Bakery, Fast Food",250,3.2
948,Mini Me Bakers,Annapurna Road,Bakery,300,3.2
949,Bakery Bites,Khajrana,Bakery,350,3.3
950,Cake Makers,Old Palasia,"Bakery, Desserts",350,3.2
951,Kerala Sweets Bakery,By Pass Road (North),"Bakery, Fast Food",150,3.8
952,Sweet Little Bakery,Khajrana,Desserts,350,3.4
953,Cakes N' Craft,Annapurna Road,"Bakery, Desserts",350,3.5
954,Little Chicago,Sapna Sangeeta,"Bakery, Desserts",400,3.5
955,Puff N Plum Bakery,Manik Bagh Road,"Bakery, Street Food",200,3.1
956,Ajanta Bakery,Manik Bagh Road,"Bakery, Fast Food",200,3.2
957,Monica Bakers & Fast Food,Sudama Nagar,"Bakery, Fast Food",350,3.2
958,Cake Central By Cakesmith's Alley,Khajrana,"Bakery, Fast Food",350,3.1
959,Red Maple Bakery,HIG-LIG,Bakery,200,3.3
960,Maan Bakery,Old Palasia,"Bakery, Fast Food",250,3.3
961,Suffa Restaurant,Khajrana,"North Indian, Bakery",500,3.1
962,Cakes N' Craft,Bhawar Kuan,"Bakery, Desserts",350,3.3
963,Bittu's Bakes,Manik Bagh Road,"Bakery, Desserts",300,3.2
965,Pastry Pop Bakers,MR 10 Road,Bakery,200,3
966,King of Cakes,Vijay Nagar,"Bakery, Desserts",150,3.2
967,Cakes 365,Khajrana,"Bakery, Fast Food",200,3.3
968,Cake's Valley,By Pass Road (North),"Bakery, Fast Food",300,2.7
969,Red Maple Bakery,Vijay Nagar,"Bakery, Desserts",300,2.9
970,Pastry Parlor,YN Road,"Bakery, Fast Food",250,2.9
971,Cakes 365,By Pass Road (North),"Bakery, Fast Food",250,3.2
972,Hot And chill,Vijay Nagar,"Bakery, Fast Food",450,3
973,Jain's Trupti Bakes N Beans,Old Palasia,"Bakery, Fast Food, Chinese",300,3.2
975,My Choice Cafe & Bakery,Sapna Sangeeta,"Bakery, Fast Food",200,3.3
977,Happy Oven Bakery,Bhawar Kuan,Bakery,350,3.3
978,Papa Bakery,By Pass Road (North),Bakery,150,3.1
979,Eat A Treat,Old Palasia,Bakery,300,3.3
980,CM9 Bakery,Manik Bagh Road,"Bakery, Desserts",250,3.2
981,Cake Me Up - Hotel WOW,"Hotel Wow, Vijay Nagar",Bakery,500,3.3
982,Cakes N Craft,Khajrana,"Bakery, Desserts",350,2.9
983,Suffa Restaurant,New Palasia,"North Indian, Bakery",500,2.9
984,Shree Krishna Cakes,HIG-LIG,"Bakery, Street Food",400,3
985,KND Bakery,HIG-LIG,"Bakery, Chinese",300,3.2
988,"Whisk ""N"" Spatula",Annapurna Road,"Cafe, Bakery",400,2.9
990,The Jain's Cakery,Ranjeet Hanuman,Bakery,250,3
991,Baker Street,"Devi Ahilya Bai Holkar Airport, Airport Road","Bakery, Tea, Coffee",500,3
993,Babu Bakery and Dudh Dairy,Rau,"Bakery, Desserts",100,3
994,Shrinath,Ranjeet Hanuman,Bakery,300,3
995,Baker Street,"Devi Ahilya Bai Holkar Airport, Airport Road","Bakery, Tea, Coffee",500,2.9
1000,Apna Sweets,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",400,4.3
1001,Apna Sweets,Sapna Sangeeta,"Mithai, North Indian, South Indian, Beverages",400,4
1002,Madhuram Sweets,"56 Dukan, New Palasia","Chinese, Mithai",300,4
1003,Apna Sweets,Old Palasia,"Mithai, North Indian, South Indian, Beverages",400,4.2
1004,Rasgulla House,Geeta Bhavan,Mithai,100,4.3
1005,Apna Sweets,Annapurna Road,"Mithai, North Indian, South Indian, Beverages",400,3.8
1006,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,"North Indian, Mithai, Street Food",200,4.1
1007,Vijay Chaat House,"56 Dukan, New Palasia",Street Food,100,4.8
1008,Madhur Zayka Sweets n Cafe,Annapurna Road,"North Indian, South Indian, Fast Food, Mithai",500,3.8
1009,Apna Sweets,Bombay Bazaar,"Mithai, North Indian, South Indian, Beverages",400,3.2
1010,Apna Sweets,Rau,"Mithai, North Indian, South Indian, Beverages",400,2.4
1011,Laxmi Narayan Doodhwala,Old Palasia,"Mithai, Fast Food",200,4.2
1012,Mishri Sweets,Old Palasia,Mithai,250,4
1013,Gujrat Sweets,Sapna Sangeeta,"Mithai, Street Food",250,3.8
1014,Agrawal Sweets,Sapna Sangeeta,Mithai,250,3.8
1015,Ratan Sev Bhandar,Sarafa Bazaar,"Mithai, Bakery, Fast Food",250,4.2
1016,Mathurawala Sweets,"Mathurawala, Airport Road",Mithai,300,2.5
1017,Jain Mithai Bhandar,Manik Bagh Road,"Mithai, Street Food",250,3.5
1018,Suresh Namkeen and Sweets,YN Road,"Mithai, Street Food",200,4.1
1019,Vikas Sweets & Restaurant,Rau,"North Indian, Fast Food, Street Food, Mithai",450,3.9
1020,Annapurna Sweet Centre,Sudama Nagar,"Mithai, Bakery",300,3.7
1021,Shri Sweets,MR 10 Road,Mithai,200,3.5
1022,Nagori Sweets,Sarafa Bazaar,Mithai,200,4.1
1023,Jain Mithai Bhandar,Old Palasia,"Mithai, Fast Food, Street Food",350,3.7
1024,Shri Agrawal Sweets,RNT Marg,Mithai,250,3.8
1025,Ratan Sev Bhandar,Old Palasia,"Mithai, Bakery, Fast Food",250,4
1026,Jagdeesh Sweets,Jail Road,"Street Food, Mithai",100,3.7
1027,Mithas 24,Sudama Nagar,"Mithai, Fast Food, Street Food",200,2.7
1028,Agrawal Sweets,"56 Dukan, New Palasia",Mithai,250,4
1029,Mishri Sweets,Vijay Nagar,Mithai,250,3.7
1030,JSK Sweets & Restaurant,Rau,"Mithai, Street Food",100,3.7
1031,Madhuram Sweets,Sudama Nagar,"Mithai, North Indian",300,3.1
1032,Jain Shree Sweets,Rajwada,Mithai,200,3.6
1033,Vikas Sweets And Fast Food,Rau,"Fast Food, Mithai",150,3.6
1034,Aajibai Sweets,Vijay Nagar,"Mithai, Street Food, Chinese, South Indian",300,3.5
1035,Hello Halwai Namkeen,YN Road,"Mithai, Street Food",200,3.4
1036,Shri Agrawal Sweets,Old Palasia,Mithai,250,3.8
1037,Marothiya Pedewala,Old Palasia,Mithai,200,3.8
1038,New Agrawal Sweets,Sapna Sangeeta,"Mithai, Street Food",250,3.8
1039,Agrawal Sweets,Sarafa Bazaar,Mithai,250,2.8
1040,Madhuram Sweets,Vijay Nagar,Mithai,250,3.5
1041,Shankar Namkeen,MR 10 Road,"Mithai, Fast Food",250,3.8
1042,Nema Sweets,Bombay Bazaar,Desserts,200,3.2
1043,Shree Bhairavnath Misthan Bhandar,Sarafa Bazaar,Mithai,200,3.8
1044,Jain Shree Sweets,Annapurna Road,Mithai,200,3.5
1045,Jain Mithai Bhandar,Vijay Nagar,"Mithai, Street Food",200,2.4
1046,Marothiya Pedewala,Rajwada,Mithai,200,3.5
1047,Shri Ram Sweets and Namkeen,Sudama Nagar,Mithai,300,3.5
1048,Naman Namkeen Sweets and Bakery,Jail Road,"Mithai, Street Food",200,3.6
1049,JMB - Jain Mithai Bhandar,Khajrana,"Mithai, Street Food",200,3.4
1050,Shree Nath,Annapurna Road,"Mithai, Fast Food",300,3.4
1051,Maheshwari Sweets,Navlakha,Mithai,250,3.7
1052,Shree Gangour Sweets,New Palasia,"Mithai, Street Food",300,3.3
1053,Shree Sundaram Sweet,Vijay Nagar,"South Indian, Fast Food, Chinese, Mithai",150,3.4
1054,Chaar Bhuja Sweets & Namkeen,HIG-LIG,Mithai,200,2.6
1055,Shree Baba Sweets,Jail Road,Mithai,100,3.4
1056,New Mahaveer Dairy,Old Palasia,Mithai,200,3.6
1057,Marothiya Pedewala,Airport Road,Mithai,300,3.5
1058,Shree Arti Sweets,Sapna Sangeeta,"Mithai, Fast Food",350,3.4
1059,Shree Meenakshi Sweets,Sapna Sangeeta,Mithai,250,3.4
1060,Marothiya Pedewala,Ranjeet Hanuman,Mithai,200,3.3
1061,Bhagat Singh Chandan Singh Dudh Walo Ki Mithaiya,Rajwada,Mithai,300,3.5
1062,Shree Sweets,Vijay Nagar,"Mithai, Fast Food",200,3.2
1063,Tasty Center,HIG-LIG,Mithai,200,3.4
1064,Nema Gajak Kulfi,Bombay Bazaar,Desserts,200,2.8
1065,Ladu Maharaj,Airport Road,Mithai,300,3.3
1066,Mangal Sweets,Chhavani,Mithai,100,3.1
1067,Surbhi Sweets,Annapurna Road,Mithai,400,3.4
1068,Shree Mathurawala Sweets,Chhavani,Mithai,300,3.2
1069,Jmb Jain Sweets,"56 Dukan, New Palasia","Mithai, Chinese, South Indian, Street Food",200,3.2
1070,Satyam Sweets,Airport Road,Mithai,200,3.2
1071,Khandelwal Sweets,HIG-LIG,Mithai,300,3.3
1072,Shree Balaji Namkeen & Sweets,Vijay Nagar,"Street Food, Mithai",300,3.2
1073,Agrawal Namkeen Center,"56 Dukan, New Palasia","Mithai, Fast Food",300,3.3
1074,Shri Agrawal Sweets,Ranjeet Hanuman,Mithai,250,3.5
1076,Mamaji Namkeen and Sweets,Chhavani,"Mithai, Street Food",200,3.1
1077,Shree Nath Ke Namkeen,Sudama Nagar,"Mithai, Ice Cream",400,3.1
1078,Gelda Namkeen and Sweets,Bombay Bazaar,"Mithai, Street Food",300,3
1079,Mousa Sweets & Namkeens,Airport Road,"Mithai, Street Food",200,3
1080,Mauji Hot Food And Sweets,Jail Road,"Mithai, Fast Food",250,3.1
1081,Sindh Sweets,Manik Bagh Road,"Mithai, Street Food",150,3
1082,Jai Ambe Namkeen Sweets,Khajrana,"Mithai, Fast Food",300,3.1
1084,Kesriram Sweets,Sarafa Bazaar,"Mithai, Fast Food",300,3.2
1085,Mahaveer Namkeen,Rajwada,"Mithai, Street Food",200,3.1
1086,Sharma Sweets and Namkeen,Khajrana,Mithai,300,3.2
1087,Quality Sweets,Khajrana,Mithai,200,3.1
1088,Nema Sandwich Point,Airport Road,"Mithai, Fast Food",300,3
1089,Sri Agarwal Sweets And Namkeen,HIG-LIG,"Mithai, Fast Food",300,3
1090,Padmawati Parshawa Namkeen,Khajrana,"Mithai, Street Food",200,3.1
1091,Jai Ranjeet Gajak Bhandar,Annapurna Road,Mithai,100,3.1
1092,Agrawal Ji Ke Namkeen,Old Palasia,Mithai,200,3
1093,Jai Shree Kalki Sweets and Restaurant,Rau,"Mithai, Street Food",150,3
1095,Shri Agrawal Sweets & Namkeen,HIG-LIG,Mithai,300,2.9
1096,Taste of Malwa,Old Palasia,"Mithai, Street Food",200,3
1100,10 Downing Street,Vijay Nagar,"North Indian, Chinese",1500,4.1
1101,Calypso,"C21 Mall, Vijay Nagar","North Indian, Chinese, Continental",1500,3.9
1102,Indore Pub Exchange,"Treasure Island Mall, South Tukoganj","Finger Food, North Indian, Italian, Continental",1000,3.8
1103,Agent Jack's Bar,Vijay Nagar,"Italian, North Indian",1500,4
1104,Level 3,"Mangal City Mall, Vijay Nagar","North Indian, Finger Food, Mughlai",1500,3.4
1105,Trance The Pub,Vijay Nagar,"North Indian, Finger Food",1500,3.9
1106,Glazz,New Palasia,"North Indian, Italian",1500,3.2
1107,Spiritual Pub & Restaurant,Rau,"North Indian, Chinese, Italian, Continental",1400,3.4
1108,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar","North Indian, Chinese",1500,4.7
1109,Opium Bar By The Roof,"Infiniti Hotel, Vijay Nagar","Finger Food, North Indian",1400,4.4
1110,Sky Blue Sports Bar,"C21 Mall, Vijay Nagar","Finger Food, North Indian, Chinese, Mughlai",1800,3.3
1111,The Piano Project,Vijay Nagar,"North Indian, Mughlai",1200,4.3
1112,Good Old Days - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Asian, Street Food",1500,4.2
1113,Ethyl Bar - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar",Finger Food,2600,4.2
1114,Livup Cafebar & Lounge,Vijay Nagar,"North Indian, South Indian, Chinese, Cafe, Beverages",1200,3.7
1115,Couple Lounge,"Hotel Amar Vilas, Press Complex","North Indian, Chinese, Continental",1300,3.7
1116,Lighthouse,Vijay Nagar,"North Indian, Chinese",750,3.5
1117,Exotica The Lounge Bar - Crescent Spa & Resorts,Crescent Spa & Resorts,"Finger Food, Continental",1200,3.5
1118,99 Degrees & Rising - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Pizza, Continental",1500,3.8
1119,Slounge - Lemon Tree Hotel,"Lemon Tree Hotel, RNT Marg",Finger Food,1500,3.6
1120,Osmium Lounge,"Sapna Sangeeta Mall, Sapna Sangeeta","North Indian, Chinese, Bar Food, Asian",1500,3.4
1121,Victoria Club & Lounge,"Treasure Island Mall, South Tukoganj","Finger Food, North Indian, Chinese",1000,2.6
1122,The Lounge Bar - Hotel Amar Vilas,"Hotel Amar Vilas, Press Complex","North Indian, Chinese",1200,3.6
1123,Brix & Barrels,Bhawar Kuan,"North Indian, Mughlai, Continental",1500,3.1
1124,O2 Club & Lounge,South Tukoganj,"Chinese, North Indian, Continental",1200,3.7
1125,Smaaash,South Tukoganj,Finger Food,1200,3.4
1126,Lancer Cocktail Lounge,"Hotel Crown Palace, South Tukoganj","North Indian, Mughlai, Continental, Chinese",1400,3.3
1127,Kava Lounge - Fairfield by Marriott,Fairfield By Marriott,Finger Food,1000,3.2
1128,Bake N Shake,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",500,4.2
1129,Mitti - Organic. Fresh. Desi.,Old Palasia,"Cafe, North Indian",600,4.3
1130,Mangosteen Cafe,New Palasia,Cafe,800,4
1131,Mocha,YN Road,"Cafe, Continental, Italian, Street Food",800,4.2
1132,O2 Cafe De La Ville,New Palasia,"Cafe, Fast Food",900,4.1
1133,Just My Bakes,Vijay Nagar,"Cafe, North Indian, Bakery",700,4
1134,Mr. Beans,Old Palasia,"Cafe, French, Italian",800,4.3
1135,Cafe Chapter One,Vijay Nagar,"Cafe, Italian, Fast Food",750,4.5
1136,Cafe Terazza,Vijay Nagar,"Cafe, Italian, Chinese",900,3.9
1137,Just My Bakes,Sudama Nagar,"Cafe, North Indian, Bakery",700,3.8
1138,Cafe Yolo,Vijay Nagar,"Cafe, Fast Food",650,4.1
1139,Oiya,New Palasia,Cafe,600,4.4
1140,Tea Shack,Vijay Nagar,"Fast Food, Italian",450,4.2
1141,Lotus Cafe & Restaurant,Rajendra Nagar,"Cafe, North Indian",550,3.3
1142,Freito,Vijay Nagar,"Mexican, Italian, Cafe",900,4
1143,Masala Medley Cafe,Sapna Sangeeta,"Cafe, North Indian",600,3.7
1144,Pleasure House,Bhawar Kuan,"Cafe, Fast Food",500,4.3
1145,Cafe Kono,New Palasia,Cafe,500,4
1146,Oakaz - Cafe and Restaurant,South Tukoganj,"Cafe, North Indian, Fast Food",600,3.7
1147,The Chocolate Room,"BCM Heights, Vijay Nagar","Cafe, Desserts",700,3.9
1148,The Chocolate Room,"BCM Heights, Vijay Nagar","Cafe, Desserts",700,3.9
1149,Cafe Bake Well,"Hotel Crown Palace, South Tukoganj","Cafe, Chinese",400,3.9
1150,Mugs & Beans,Rau,"North Indian, Italian, Fast Food",750,3.9
1151,Cafe Palette,Old Palasia,"Cafe, Mexican, Italian",800,4
1152,Wanna Puff,Rau,"Fast Food, Beverages",500,3.7
1153,Down Town Cafe,Sapna Sangeeta,"Cafe, Fast Food, North Indian",500,3.9
1154,Aieroc  Resto Cafe,By Pass Road (North),Cafe,800,4
1155,NH3 Kitchen,Rau,"Cafe, North Indian",650,4
1156,Fork It Cafe,By Pass Road (South),"Cafe, Fast Food",600,4.3
1157,Effe Cafe,Papaya Tree Hotel,Cafe,800,4
1158,The Nest,Old Palasia,"Cafe, Fast Food",550,4
1159,Checkmate Cafe,Bhawar Kuan,"Cafe, Fast Food",600,3.7
1160,Sassy House - All Day Cafe,Vijay Nagar,"Cafe, Fast Food, North Indian",650,3.8
1161,The Story Cafe,Vijay Nagar,"Cafe, Fast Food",550,3.4
1162,The Chai Bar,New Palasia,"Cafe, Fast Food",300,3.9
1163,Tea Diaries,YN Road,Cafe,500,4.2
1164,Waffles & More,Old Palasia,"Cafe, Desserts",500,4.2
1165,La Pink Cafe,New Palasia,"Cafe, North Indian, Fast Food, South Indian",500,3.3
