,Name,Locality,Cuisines,avg_cost_for_two,aggregate_rating
749,Freito,Vijay Nagar,"Mexican, Italian, Cafe",900,4
750,Pitchers Cafebar,Vijay Nagar,"North Indian, Italian, Fast Food",1000,4
751,Kebabilal's,Bhawar Kuan,"North Indian, Chinese",700,3.7
752,Madni Non Veg Restaurant,Gangwal Bus Stand,"North Indian, Biryani",400,4.1
753,Shreemaya Celebrity,Vijay Nagar,"North Indian, South Indian, Italian, Chinese, Street Food",500,4.3
754,Shreemaya Celebrity,"Hotel Shreemaya Residency, Press Complex","North Indian, South Indian, Italian, Chinese, Street Food",500,4.5
755,Alav,New Palasia,"North Indian, Chinese",700,4
756,Little Italy,Vijay Nagar,"Italian, Mexican",1400,4.5
757,House Of Malts,Vijay Nagar,"North Indian, Italian",1000,4.1
758,Angaraa,Old Palasia,"North Indian, Chinese",650,3.2
759,Shree Chotiwala Restaurant,South Tukoganj,"North Indian, Chinese",450,3.7
760,Capers - Hotel Effotel,"Hotel Effotel, Vijay Nagar","North Indian, Italian, Chinese, Continental",1200,4.5
761,Chef's Alcove,Rau,"American, Mexican, Italian",850,4.2
762,Vrindavan Restaurant,Vijay Nagar,"North Indian, Chinese, Mughlai",800,3.7
763,Oakaz - Cafe and Restaurant,South Tukoganj,"Cafe, North Indian, Fast Food",600,3.7
764,Ranjeet's Kitchen,Sudama Nagar,North Indian,450,3.3
765,Hotel Shree Leela,Sarwate Bus Stand,North Indian,400,3.8
766,Gordhan Thal,Geeta Bhavan,Gujarati,600,3.9
767,Khanabadosh,By Pass Road (North),"North Indian, Chinese",1000,3.6
768,Noor's Kitchen,Vijay Nagar,"Mughlai, North Indian, Kebab",700,4
769,Mud Oven,Vijay Nagar,"North Indian, Chinese, Italian",600,3.6
770,12 AM - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar",North Indian,750,4.1
771,Charpai - The Dhaba,MR 10 Road,"North Indian, South Indian",500,3.8
772,Cafe Palette,Old Palasia,"Cafe, Mexican, Italian",800,4
773,Mr. Singh's,Vijay Nagar,"North Indian, Chinese, Mughlai, Fast Food, Seafood",600,3.7
774,Farzi Café,Vijay Nagar,"North Indian, Continental",1500,4.2
775,GFC - The Great Food Company,By Pass Road (North),"North Indian, Chinese",800,3.9
776,Echidna Restobrew,By Pass Road (North),"Mediterranean, Asian, North Indian",1300,3.5
777,Panchavati Gaurav,"Malhar Mega Mall, Vijay Nagar","Gujarati, Rajasthani",600,3.9
778,The Urban Rasoi,Annapurna Road,"North Indian, Chinese",650,4
779,Urban Desi Bistro,"56 Dukan, New Palasia","North Indian, Mughlai",700,4.3
780,Aieroc  Resto Cafe,By Pass Road (North),Cafe,800,4
781,South Avenue,South Tukoganj,North Indian,1000,4.5
782,Culture Restaurant,Vijay Nagar,North Indian,600,3.8
783,LSD - Love Sugar & Dough,Vijay Nagar,"Bakery, North Indian, Italian",800,4.1
784,Bapu Ki Kutiya,Vijay Nagar,"North Indian, Chinese",550,3.9
785,Shreeleela Bhojnalaya,Sapna Sangeeta,North Indian,300,3.4
